,fips,CODE2013
190,06003,6.0
191,06005,6.0
192,06007,4.0
193,06009,6.0
194,06011,6.0
195,06013,2.0
196,06015,5.0
197,06017,2.0
198,06019,3.0
199,06021,6.0
200,06023,5.0
201,06025,4.0
202,06027,6.0
203,06029,3.0
204,06031,4.0
205,06033,5.0
206,06035,5.0
207,06037,1.0
208,06039,4.0
209,06041,2.0
210,06043,6.0
211,06045,5.0
212,06047,3.0
213,06049,6.0
214,06051,6.0
215,06053,3.0
216,06055,4.0
217,06057,5.0
218,06059,1.0
219,06061,2.0
220,06063,6.0
221,06065,1.0
222,06067,1.0
223,06069,2.0
224,06071,2.0
225,06073,1.0
226,06075,1.0
227,06077,3.0
228,06079,3.0
229,06081,2.0
230,06083,3.0
231,06085,1.0
232,06087,3.0
233,06089,4.0
234,06091,6.0
235,06093,6.0
236,06095,3.0
237,06097,3.0
238,06099,3.0
239,06001,4.0
240,06003,5.0
241,06005,6.0
242,06007,3.0
243,06009,5.0
244,06111,3.0
245,06113,2.0
246,06115,4.0
247,08001,2.0
248,08003,6.0
249,08005,2.0
250,08007,6.0
251,08009,6.0
252,08011,6.0
253,08013,3.0
254,08014,2.0
255,08015,6.0
256,08017,6.0
257,08019,2.0
258,08021,6.0
259,08023,6.0
260,08025,6.0
261,08027,6.0
262,08029,6.0
263,08031,1.0
264,08033,6.0
265,08035,2.0
266,08037,5.0
267,08039,2.0
268,08041,3.0
269,08043,5.0
270,08045,5.0
271,08047,2.0
272,08049,6.0
273,08051,6.0
274,08053,6.0
275,08055,6.0
276,08057,6.0
277,08059,2.0
278,08061,6.0
279,08063,6.0
280,08065,6.0
281,08067,5.0
282,08069,3.0
283,08071,6.0
284,08073,6.0
285,08075,5.0
286,08077,4.0
287,08079,6.0
288,08081,5.0
289,08083,6.0
290,08085,5.0
291,08087,5.0
292,08089,6.0
293,08091,6.0
294,08093,2.0
295,08095,6.0
296,08097,5.0
297,08099,6.0
298,08001,4.0
299,08003,6.0
300,08005,6.0
301,08007,5.0
302,08009,6.0
303,08111,6.0
304,08113,6.0
305,08115,6.0
306,08117,5.0
307,08119,3.0
308,08121,6.0
309,08123,3.0
310,08125,6.0
311,09001,3.0
312,09003,1.0
313,09005,5.0
314,09007,2.0
315,09009,3.0
316,09011,3.0
317,09013,2.0
318,09015,3.0
319,00001,4.0
320,00003,2.0
321,00005,3.0
322,11001,1.0
323,12001,3.0
324,12003,2.0
325,12005,4.0
326,12007,6.0
327,12009,3.0
328,12011,2.0
329,12013,6.0
330,12015,4.0
